Date,Open,High,Low,Close,Adj Close,Volume
2015-02-16,1.139705,1.143500,1.139705,1.140004,1.140004,0
2015-02-17,1.133363,1.144230,1.132516,1.133401,1.133401,0
2015-02-18,1.140498,1.141500,1.134780,1.140472,1.140472,0
2015-02-19,1.140082,1.145001,1.135620,1.140004,1.140004,0
2015-02-20,1.136674,1.137599,1.128210,1.136674,1.136674,0
2015-02-23,1.137941,1.139302,1.129660,1.138148,1.138148,0
2015-02-24,1.133414,1.134740,1.129070,1.133299,1.133299,0
2015-02-25,1.134070,1.138800,1.133780,1.133903,1.133903,0
2015-02-26,1.136273,1.137880,1.120270,1.136364,1.136364,0
2015-02-27,1.120360,1.125000,1.117681,1.120536,1.120536,0
2015-03-02,1.117094,1.124040,1.116395,1.116196,1.116196,0
2015-03-03,1.117668,1.121401,1.115600,1.117905,1.117905,0
2015-03-04,1.118406,1.118806,1.106280,1.118218,1.118218,0
2015-03-05,1.107996,1.110890,1.101050,1.108205,1.108205,0
2015-03-06,1.103400,1.103400,1.085222,1.103205,1.103205,0
2015-03-09,1.084563,1.091000,1.083776,1.084599,1.084599,0
2015-03-10,1.083576,1.083705,1.070590,1.083341,1.083341,0
2015-03-11,1.070939,1.071455,1.056140,1.070870,1.070870,0
2015-03-12,1.054941,1.068150,1.050155,1.054875,1.054875,0
2015-03-13,1.062598,1.063000,1.048630,1.062631,1.062631,0
2015-03-16,1.048449,1.061400,1.048449,1.048163,1.048163,0
2015-03-17,1.057284,1.064900,1.055298,1.057295,1.057295,0
2015-03-18,1.059591,1.064600,1.058050,1.059805,1.059805,0
2015-03-19,1.084399,1.091405,1.062141,1.084999,1.084999,0
2015-03-20,1.067270,1.081490,1.065720,1.066894,1.066894,0
2015-03-23,1.082603,1.094370,1.076950,1.082661,1.082661,0
2015-03-24,1.094799,1.103000,1.089331,1.094499,1.094499,0
2015-03-25,1.091060,1.101297,1.091000,1.090203,1.090203,0
2015-03-26,1.096648,1.104520,1.091260,1.096047,1.096047,0
2015-03-27,1.088554,1.089538,1.080530,1.088637,1.088637,0
2015-03-30,1.088198,1.088495,1.081110,1.088495,1.088495,0
2015-03-31,1.082907,1.084352,1.071765,1.083025,1.083025,0
2015-04-01,1.074102,1.080030,1.072130,1.073814,1.073814,0
2015-04-02,1.076983,1.089690,1.075269,1.076994,1.076994,0
2015-04-03,1.087098,1.102196,1.086590,1.087075,1.087075,0
2015-04-06,1.100146,1.103594,1.096852,1.100134,1.100134,0
2015-04-07,1.093482,1.095554,1.083770,1.093482,1.093482,0
2015-04-08,1.082497,1.089000,1.078950,1.082415,1.082415,0
2015-04-09,1.078435,1.079005,1.067000,1.078528,1.078528,0
2015-04-10,1.066724,1.068350,1.057150,1.066906,1.066906,0
2015-04-13,1.060828,1.062000,1.052160,1.060985,1.060985,0
2015-04-14,1.057496,1.070690,1.053250,1.057295,1.057295,0
2015-04-15,1.064793,1.066870,1.057460,1.064713,1.064713,0
2015-04-16,1.067714,1.076240,1.062800,1.067680,1.067680,0
2015-04-17,1.075998,1.084690,1.073510,1.075558,1.075558,0
2015-04-20,1.081023,1.081865,1.071620,1.081023,1.081023,0
2015-04-21,1.074818,1.076500,1.066159,1.074749,1.074749,0
2015-04-22,1.073825,1.080000,1.071010,1.074172,1.074172,0
2015-04-23,1.072501,1.081820,1.067130,1.072582,1.072582,0
2015-04-24,1.081514,1.089800,1.078772,1.081502,1.081502,0
2015-04-27,1.086744,1.090490,1.082391,1.086897,1.086897,0
2015-04-28,1.087701,1.098900,1.086180,1.087796,1.087796,0
2015-04-29,1.097213,1.117599,1.096060,1.096912,1.096912,0
2015-04-30,1.111321,1.124759,1.107300,1.111432,1.111432,0
2015-05-01,1.121504,1.128970,1.118600,1.121466,1.121466,0
2015-05-04,1.119094,1.122311,1.112400,1.118593,1.118593,0
2015-05-05,1.115001,1.121000,1.106900,1.114914,1.114914,0
2015-05-06,1.118443,1.136530,1.117805,1.118631,1.118631,0
2015-05-07,1.133928,1.139060,1.123820,1.134147,1.134147,0
2015-05-08,1.124505,1.128900,1.118519,1.124695,1.124695,0
2015-05-11,1.119695,1.120298,1.113461,1.119407,1.119407,0
2015-05-12,1.114604,1.127790,1.113598,1.114442,1.114442,0
2015-05-13,1.121894,1.138281,1.120550,1.122146,1.122146,0
2015-05-14,1.134803,1.144379,1.134224,1.135048,1.135048,0
2015-05-15,1.140394,1.145100,1.132470,1.140498,1.140498,0
2015-05-18,1.144400,1.144700,1.133879,1.144505,1.144505,0
2015-05-19,1.132541,1.132618,1.112100,1.132618,1.132618,0
2015-05-20,1.114678,1.115076,1.106574,1.114666,1.114666,0
2015-05-21,1.110309,1.118001,1.108586,1.110075,1.110075,0
2015-05-22,1.111099,1.121000,1.100700,1.111185,1.111185,0
2015-05-25,1.099215,1.101000,1.096071,1.099300,1.099300,0
2015-05-26,1.097129,1.097129,1.087520,1.097117,1.097117,0
2015-05-27,1.088755,1.093000,1.082200,1.088886,1.088886,0
2015-05-28,1.089800,1.095000,1.086880,1.090001,1.090001,0
2015-05-29,1.095794,1.100350,1.092911,1.096035,1.096035,0
2015-06-01,1.095902,1.098000,1.088890,1.095794,1.095794,0
2015-06-02,1.092275,1.116630,1.091941,1.092299,1.092299,0
2015-06-03,1.114827,1.128329,1.108679,1.115001,1.115001,0
2015-06-04,1.126228,1.137605,1.123260,1.125784,1.125784,0
2015-06-05,1.121604,1.128020,1.105180,1.120787,1.120787,0
2015-06-08,1.110543,1.124280,1.108807,1.110815,1.110815,0
2015-06-09,1.128197,1.133969,1.121670,1.128095,1.128095,0
2015-06-10,1.129331,1.138200,1.126660,1.129905,1.129905,0
2015-06-11,1.131299,1.132054,1.118880,1.131196,1.131196,0
2015-06-12,1.124505,1.129330,1.115250,1.124063,1.124063,0
2015-06-15,1.121793,1.125811,1.119150,1.121994,1.121994,0
2015-06-16,1.127701,1.133010,1.121160,1.127701,1.127701,0
2015-06-17,1.124240,1.129110,1.122949,1.124202,1.124202,0
2015-06-18,1.136415,1.142840,1.134101,1.136997,1.136997,0
2015-06-19,1.137294,1.138797,1.129599,1.137074,1.137074,0
2015-06-22,1.136235,1.141000,1.131601,1.137294,1.137294,0
2015-06-23,1.134623,1.134623,1.113771,1.134906,1.134906,0
2015-06-24,1.117706,1.124000,1.116283,1.117219,1.117219,0
2015-06-25,1.120712,1.122410,1.115670,1.120699,1.120699,0
2015-06-26,1.120385,1.122000,1.113630,1.120298,1.120298,0
2015-06-29,1.098298,1.119741,1.098298,1.097502,1.097502,0
2015-06-30,1.121604,1.123880,1.112300,1.122297,1.122297,0
2015-07-01,1.113499,1.116759,1.106120,1.113499,1.113499,0
2015-07-02,1.103704,1.112160,1.103704,1.103363,1.103363,0
2015-07-03,1.108598,1.111999,1.108270,1.108697,1.108697,0
2015-07-06,1.099795,1.109141,1.099795,1.099505,1.099505,0
2015-07-07,1.104802,1.105265,1.091680,1.104899,1.104899,0
2015-07-08,1.100994,1.109010,1.097502,1.100994,1.100994,0
2015-07-09,1.107236,1.111620,1.102290,1.107101,1.107101,0
2015-07-10,1.106305,1.122000,1.105620,1.106305,1.106305,0
2015-07-13,1.112904,1.119759,1.100770,1.112904,1.112904,0
2015-07-14,1.098515,1.107400,1.096850,1.099046,1.099046,0
2015-07-15,1.100897,1.104000,1.093610,1.100800,1.100800,0
2015-07-16,1.093888,1.095000,1.085940,1.094355,1.094355,0
2015-07-17,1.088601,1.091000,1.084391,1.088601,1.088601,0
2015-07-20,1.083295,1.087200,1.082157,1.083025,1.083025,0
2015-07-21,1.083482,1.094070,1.081270,1.083541,1.083541,0
2015-07-22,1.093900,1.097000,1.088140,1.093996,1.093996,0
2015-07-23,1.092705,1.102000,1.092395,1.092705,1.092705,0
2015-07-24,1.098841,1.099602,1.092790,1.098901,1.098901,0
2015-07-27,1.097406,1.112999,1.097406,1.097237,1.097237,0
2015-07-28,1.109102,1.110100,1.102300,1.109004,1.109004,0
2015-07-29,1.106550,1.108598,1.101420,1.106599,1.106599,0
2015-07-30,1.098394,1.099000,1.091130,1.098406,1.098406,0
2015-07-31,1.094176,1.111030,1.092390,1.093924,1.093924,0
2015-08-03,1.096900,1.099540,1.094400,1.096900,1.096900,0
2015-08-04,1.095398,1.099600,1.093350,1.095602,1.095602,0
2015-08-05,1.088601,1.091879,1.085031,1.088898,1.088898,0
2015-08-06,1.090405,1.093460,1.087750,1.090310,1.090310,0
2015-08-07,1.092204,1.096861,1.085910,1.092705,1.092705,0
2015-08-10,1.095902,1.100000,1.092710,1.096503,1.096503,0
2015-08-11,1.101795,1.108590,1.096150,1.101698,1.101698,0
2015-08-12,1.104374,1.121030,1.103302,1.104204,1.104204,0
2015-08-13,1.115586,1.118906,1.108181,1.116096,1.116096,0
2015-08-14,1.115897,1.119000,1.110110,1.116096,1.116096,0
2015-08-17,1.109496,1.112599,1.106250,1.109299,1.109299,0
2015-08-18,1.107714,1.110000,1.102190,1.107800,1.107800,0
2015-08-19,1.103095,1.108000,1.102040,1.103083,1.103083,0
2015-08-20,1.112001,1.122000,1.110840,1.111803,1.111803,0
2015-08-21,1.123595,1.136910,1.123204,1.123697,1.123697,0
2015-08-24,1.137799,1.170600,1.137294,1.137695,1.137695,0
2015-08-25,1.158239,1.159000,1.140030,1.158306,1.158306,0
2015-08-26,1.155482,1.155896,1.135500,1.155095,1.155095,0
2015-08-27,1.133954,1.136160,1.121160,1.134005,1.134005,0
2015-08-28,1.124505,1.131000,1.115670,1.124796,1.124796,0
2015-08-31,1.121177,1.126400,1.118590,1.121403,1.121403,0
2015-09-01,1.122599,1.133231,1.122536,1.122586,1.122586,0
2015-09-02,1.129624,1.130000,1.122290,1.129344,1.129344,0
2015-09-03,1.121504,1.125000,1.108970,1.121604,1.121604,0
2015-09-04,1.112595,1.116000,1.109460,1.112595,1.112595,0
2015-09-07,1.115897,1.118001,1.112420,1.115200,1.115200,0
2015-09-08,1.115897,1.123000,1.115371,1.116395,1.116395,0
2015-09-09,1.120800,1.121000,1.113320,1.120737,1.120737,0
2015-09-10,1.121944,1.128000,1.117489,1.122070,1.122070,0
2015-09-11,1.128286,1.134220,1.125580,1.129089,1.129089,0
2015-09-14,1.134404,1.137210,1.128770,1.134404,1.134404,0
2015-09-15,1.131094,1.133003,1.125980,1.130761,1.130761,0
2015-09-16,1.127294,1.131160,1.121500,1.127180,1.127180,0
2015-09-17,1.129395,1.134000,1.128796,1.129203,1.129203,0
2015-09-18,1.140602,1.146000,1.135170,1.140095,1.140095,0
2015-09-21,1.129305,1.132999,1.118391,1.129203,1.129203,0
2015-09-22,1.119094,1.121000,1.113080,1.119094,1.119094,0
2015-09-23,1.112199,1.119060,1.110679,1.112075,1.112075,0
2015-09-24,1.118806,1.129610,1.116670,1.118994,1.118994,0
2015-09-25,1.118118,1.120439,1.111830,1.117893,1.117893,0
2015-09-28,1.120047,1.124140,1.115210,1.120172,1.120172,0
2015-09-29,1.123356,1.128030,1.119480,1.123103,1.123103,0
2015-09-30,1.125404,1.126202,1.115800,1.125594,1.125594,0
2015-10-01,1.117156,1.121000,1.113896,1.117206,1.117206,0
2015-10-02,1.119495,1.131530,1.115180,1.119344,1.119344,0
2015-10-05,1.122146,1.128799,1.119695,1.122700,1.122700,0
2015-10-06,1.119796,1.128000,1.117606,1.119520,1.119520,0
2015-10-07,1.127294,1.128426,1.121419,1.126799,1.126799,0
2015-10-08,1.124202,1.131310,1.123974,1.124000,1.124000,0
2015-10-09,1.128605,1.137870,1.127002,1.128694,1.128694,0
2015-10-12,1.136906,1.140000,1.135840,1.136997,1.136997,0
2015-10-13,1.135396,1.141000,1.134700,1.135551,1.135551,0
2015-10-14,1.138511,1.145001,1.138511,1.138498,1.138498,0
2015-10-15,1.147500,1.149420,1.136530,1.147552,1.147552,0
2015-10-16,1.136699,1.140000,1.133940,1.136816,1.136816,0
2015-10-19,1.136002,1.138000,1.130849,1.136105,1.136105,0
2015-10-20,1.133196,1.139000,1.132580,1.132901,1.132901,0
2015-10-21,1.135602,1.137800,1.133800,1.135396,1.135396,0
2015-10-22,1.134700,1.135203,1.113800,1.134803,1.134803,0
2015-10-23,1.108402,1.114094,1.101103,1.108095,1.108095,0
2015-10-26,1.102038,1.106000,1.100600,1.102038,1.102038,0
2015-10-27,1.106097,1.107800,1.103200,1.106599,1.106599,0
2015-10-28,1.103594,1.110000,1.102706,1.103704,1.103704,0
2015-10-29,1.092598,1.098200,1.091000,1.092896,1.092896,0
2015-10-30,1.099203,1.107200,1.096996,1.099384,1.099384,0
2015-11-02,1.102499,1.106000,1.100401,1.102597,1.102597,0
2015-11-03,1.101698,1.103200,1.093800,1.101601,1.101601,0
2015-11-04,1.096503,1.096696,1.084800,1.096395,1.096395,0
2015-11-05,1.086602,1.090000,1.083705,1.086803,1.086803,0
2015-11-06,1.088495,1.089503,1.071168,1.088400,1.088400,0
2015-11-09,1.073238,1.079000,1.072996,1.073341,1.073341,0
2015-11-10,1.075975,1.076276,1.067600,1.075951,1.075951,0
2015-11-11,1.073802,1.077296,1.070800,1.073756,1.073756,0
2015-11-12,1.076496,1.080000,1.069400,1.076299,1.076299,0
2015-11-13,1.080894,1.081105,1.072200,1.081502,1.081502,0
2015-11-16,1.070102,1.076000,1.070102,1.069999,1.069999,0
2015-11-17,1.068901,1.069198,1.064401,1.068799,1.068799,0
2015-11-18,1.064396,1.069200,1.063230,1.064385,1.064385,0
2015-11-19,1.067304,1.073400,1.067000,1.066997,1.066997,0
2015-11-20,1.072697,1.073001,1.066401,1.072616,1.072616,0
2015-11-23,1.064000,1.065400,1.060299,1.064101,1.064101,0
2015-11-24,1.063898,1.067201,1.062383,1.064203,1.064203,0
2015-11-25,1.064396,1.069000,1.057600,1.064385,1.064385,0
2015-11-26,1.062496,1.063000,1.060200,1.062496,1.062496,0
2015-11-27,1.060445,1.063800,1.057000,1.060445,1.060445,0
2015-11-30,1.058302,1.059704,1.056400,1.058302,1.058302,0
2015-12-01,1.057295,1.064000,1.056602,1.057295,1.057295,0
2015-12-02,1.062699,1.064000,1.056201,1.062586,1.062586,0
2015-12-03,1.061199,1.089200,1.054200,1.061301,1.061301,0
2015-12-04,1.091834,1.095194,1.085800,1.091596,1.091596,0
2015-12-07,1.088305,1.088305,1.079800,1.088400,1.088400,0
2015-12-08,1.083600,1.090000,1.083142,1.083400,1.083400,0
2015-12-09,1.089503,1.099000,1.088198,1.089396,1.089396,0
2015-12-10,1.101698,1.102305,1.092799,1.101795,1.101795,0
2015-12-11,1.094799,1.103000,1.092801,1.094811,1.094811,0
2015-12-14,1.098998,1.104000,1.094703,1.098394,1.098394,0
2015-12-15,1.099227,1.107000,1.092200,1.099300,1.099300,0
2015-12-16,1.093601,1.095800,1.091322,1.093625,1.093625,0
2015-12-17,1.087406,1.088898,1.083353,1.087453,1.087453,0
2015-12-18,1.084399,1.087000,1.080600,1.084410,1.084410,0
2015-12-21,1.087016,1.092000,1.085200,1.086992,1.086992,0
2015-12-22,1.091203,1.098400,1.090501,1.091298,1.091298,0
2015-12-23,1.095002,1.095494,1.088495,1.095002,1.095002,0
2015-12-24,1.091000,1.096696,1.091000,1.090917,1.090917,0
2015-12-25,1.096515,1.097502,1.094703,1.096996,1.096996,0
2015-12-28,1.096599,1.100000,1.095800,1.096599,1.096599,0
2015-12-29,1.097695,1.100000,1.091000,1.097526,1.097526,0
2015-12-30,1.092801,1.095000,1.091000,1.092801,1.092801,0
2015-12-31,1.093805,1.093900,1.086600,1.093398,1.093398,0
2016-01-01,1.085906,1.086697,1.085906,1.085906,1.085906,0
2016-01-04,1.085505,1.094600,1.080600,1.085399,1.085399,0
2016-01-05,1.082603,1.084105,1.071201,1.082755,1.082755,0
2016-01-06,1.075199,1.077203,1.072200,1.075199,1.075199,0
2016-01-07,1.077795,1.087600,1.077400,1.077900,1.077900,0
2016-01-08,1.092705,1.092896,1.080801,1.092598,1.092598,0
2016-01-11,1.093900,1.094595,1.085200,1.094104,1.094104,0
2016-01-12,1.085894,1.090200,1.082400,1.085800,1.085800,0
2016-01-13,1.084399,1.088400,1.080600,1.084399,1.084399,0
2016-01-14,1.088803,1.095000,1.083999,1.088601,1.088601,0
2016-01-15,1.085776,1.098200,1.085776,1.085894,1.085894,0
2016-01-18,1.091906,1.092705,1.087600,1.092001,1.092001,0
2016-01-19,1.089503,1.091000,1.086200,1.089503,1.089503,0
2016-01-20,1.091155,1.097600,1.089289,1.091298,1.091298,0
2016-01-21,1.087701,1.092200,1.078200,1.087701,1.087701,0
2016-01-22,1.086095,1.086400,1.079599,1.086201,1.086201,0
2016-01-25,1.079902,1.085000,1.079203,1.079902,1.079902,0
2016-01-26,1.085376,1.088000,1.082000,1.085305,1.085305,0
2016-01-27,1.086401,1.091200,1.085305,1.086496,1.086496,0
2016-01-28,1.090405,1.095000,1.087000,1.090798,1.090798,0
2016-01-29,1.093697,1.094715,1.082000,1.093697,1.093697,0
2016-02-01,1.082626,1.091200,1.082626,1.082591,1.082591,0
2016-02-02,1.089895,1.094000,1.089526,1.089728,1.089728,0
2016-02-03,1.092204,1.107800,1.090600,1.092204,1.092204,0
2016-02-04,1.109201,1.123800,1.107200,1.109102,1.109102,0
2016-02-05,1.119996,1.121705,1.111000,1.119996,1.119996,0
2016-02-08,1.114703,1.119000,1.108800,1.114504,1.114504,0
2016-02-09,1.119094,1.131400,1.116400,1.118981,1.118981,0
2016-02-10,1.128999,1.130902,1.116632,1.128999,1.128999,0
2016-02-11,1.128401,1.136800,1.127600,1.128095,1.128095,0
2016-02-12,1.131734,1.133376,1.123000,1.131798,1.131798,0
2016-02-15,1.122599,1.123949,1.112999,1.122599,1.122599,0
2016-02-16,1.117818,1.119200,1.112999,1.117406,1.117406,0
2016-02-17,1.114604,1.118001,1.110800,1.114703,1.114703,0
2016-02-18,1.112199,1.115200,1.107400,1.112298,1.112298,0
2016-02-19,1.111000,1.115000,1.106799,1.111099,1.111099,0
2016-02-22,1.112397,1.112496,1.100600,1.112397,1.112397,0
2016-02-23,1.102706,1.105199,1.099199,1.102803,1.102803,0
2016-02-24,1.102499,1.104000,1.095999,1.102706,1.102706,0
2016-02-25,1.101491,1.105000,1.099199,1.101394,1.101394,0
2016-02-26,1.102499,1.107000,1.092600,1.102499,1.102499,0
2016-02-29,1.092598,1.096200,1.086400,1.092395,1.092395,0
2016-03-01,1.088696,1.089401,1.083801,1.088898,1.088898,0
2016-03-02,1.087701,1.088000,1.082600,1.087595,1.087595,0
2016-03-03,1.087004,1.093800,1.085600,1.086897,1.086897,0
